Timestamp,Vehicle Count
2025-05-16 11:23:33,1
2025-05-16 11:23:35,2
2025-05-16 11:23:37,3
2025-05-16 11:23:37,4
2025-05-16 11:23:41,5
2025-05-16 11:23:43,6
2025-05-16 11:23:45,7
2025-05-16 11:23:47,8
2025-05-16 11:23:48,9
2025-05-16 11:23:50,10
2025-05-16 11:23:53,11
2025-05-16 11:23:55,12
2025-05-16 11:23:55,13
2025-05-16 11:23:55,14
2025-05-16 11:23:58,15
2025-05-16 11:23:58,16
2025-05-16 11:24:03,17
2025-05-16 11:24:06,18
2025-05-16 11:24:06,19
2025-05-16 11:24:08,20
2025-05-16 11:24:08,21
2025-05-16 11:24:11,22
2025-05-16 11:24:11,23
2025-05-16 11:24:14,24
2025-05-16 11:24:17,25
2025-05-16 11:24:17,26
2025-05-16 11:24:20,27
2025-05-16 11:24:23,28
2025-05-16 11:24:23,29
2025-05-16 11:24:25,30
2025-05-16 11:24:26,31
2025-05-16 11:24:28,32
2025-05-16 11:24:31,33
2025-05-16 11:24:34,34
2025-05-16 11:24:35,35
2025-05-16 11:24:37,36
2025-05-16 11:24:38,37
2025-05-16 11:24:39,38
2025-05-16 11:24:44,39
2025-05-16 11:24:46,40
2025-05-16 11:24:48,41
